index,l1,l2,l3,l4,l5,l6
128,0.27534798,0.24665025,0.6277469,0.20070465,0.4702556,0.62308687
129,0.23447016,0.23173057,0.70901304,0.13281918,0.539238,0.6062386
130,0.2704161,0.24290562,0.61127985,0.19219103,0.45407653,0.6009831
131,0.25597754,0.23143224,0.60153776,0.17635268,0.41855797,0.55300164
132,0.23766202,0.23701309,0.6164151,0.15501405,0.42989337,0.56669635
133,0.27704751,0.24222359,0.59240276,0.20757645,0.45394158,0.5970336
134,0.2794613,0.24634534,0.6245105,0.20097902,0.4553345,0.60101426
135,0.27704072,0.24491379,0.666639,0.16015089,0.44315147,0.5764153
136,0.2692123,0.22778136,0.57942,0.18873352,0.41857618,0.5341888
137,0.2739457,0.24217707,0.60910046,0.20364603,0.45534214,0.6006408
138,0.25111645,0.2399331,0.6229126,0.18868826,0.5073413,0.64336574
139,0.23952508,0.23337047,0.6880699,0.14289053,0.55120385,0.6347351
140,0.25746316,0.24381718,0.7030759,0.15364715,0.484241,0.596693
141,0.2808891,0.25123635,0.6407075,0.20332853,0.48079747,0.64798856
142,0.24096572,0.24049804,0.64134467,0.16297725,0.44912046,0.5832877
143,0.25641006,0.24132839,0.6184896,0.1973352,0.459886,0.6094632
144,0.27396658,0.23851928,0.5824527,0.20778938,0.44118014,0.57760364
145,0.28041053,0.24948265,0.6254666,0.20729066,0.47095358,0.6272264
146,0.25530595,0.2232024,0.56499577,0.20103502,0.42789948,0.5495981
147,0.27555764,0.23513275,0.60137844,0.19460678,0.43006003,0.552758
148,0.27399892,0.24171612,0.6194047,0.18481904,0.44839826,0.5801044
149,0.27498525,0.25025633,0.6194856,0.2120022,0.4844694,0.6447347
150,0.27719632,0.23299453,0.57571757,0.20009154,0.42878503,0.5518098
151,0.22183101,0.22045839,0.7046417,0.13082305,0.5383122,0.58714324
152,0.23915523,0.23631321,0.65818536,0.14727244,0.52061045,0.6119337
153,0.28077814,0.2433428,0.6518708,0.16055605,0.40996227,0.5200604
154,0.27657396,0.2496197,0.6639985,0.17614278,0.472608,0.6110774
155,0.26314604,0.23349473,0.57689047,0.20507184,0.43343502,0.565225
156,0.2420463,0.23696597,0.71222013,0.14610374,0.5275376,0.6225045
157,0.27276993,0.24850929,0.62455857,0.20148462,0.46038744,0.6118753
158,0.26672298,0.23462763,0.58644927,0.1979357,0.42282736,0.54868066
159,0.2779832,0.25164285,0.65059435,0.19347802,0.48228222,0.64578176
160,0.27489418,0.24455829,0.63241744,0.17841467,0.45820928,0.6065195
161,0.24827197,0.24319766,0.68780816,0.16002227,0.5592422,0.6670717
162,0.27288854,0.2426496,0.6260047,0.19350792,0.44898885,0.6023877
163,0.24789499,0.2169463,0.57417893,0.18233484,0.41491812,0.52125835
164,0.23444274,0.23862523,0.6201782,0.171299,0.49873745,0.61464554
165,0.2000324,0.16338529,0.47398674,0.23887503,0.2799585,0.3197174
166,0.23798648,0.16434938,0.47097522,0.3741419,0.29862684,0.37115103
167,0.22213683,0.19750044,0.5027838,0.19830433,0.3658615,0.3969144
168,0.22468917,0.20541345,0.5391231,0.20346247,0.39571723,0.44206536
169,0.23683438,0.17614546,0.49377888,0.3080273,0.310775,0.36138198
170,0.20670313,0.14933002,0.42812014,0.3783387,0.25619894,0.34096625
171,0.23287895,0.18667865,0.5176198,0.2577242,0.32802558,0.36960927
172,0.21109524,0.1619947,0.44171378,0.36524934,0.2800799,0.37304032
173,0.20278785,0.15542355,0.46283633,0.28378952,0.2686155,0.3166305
174,0.22056392,0.19846372,0.5056403,0.20339763,0.38082805,0.41663554
175,0.22445536,0.17767747,0.4833645,0.29251504,0.30724385,0.35432562
176,0.22484045,0.20506722,0.5309285,0.20420043,0.39198953,0.43648514
177,0.22372508,0.20421253,0.537858,0.19989184,0.38635564,0.433671
178,0.23869494,0.16897488,0.487148,0.35043147,0.30767334,0.37011218
179,0.20687631,0.1682347,0.45213437,0.33975607,0.29276776,0.37467593
180,0.20924377,0.17345722,0.4594102,0.29841617,0.30802375,0.36155036
181,0.22413328,0.19024926,0.51142293,0.19576965,0.34572202,0.37235507
182,0.20575756,0.16598274,0.46736857,0.2660886,0.27922186,0.3331707
183,0.22383264,0.20204526,0.53185,0.19838579,0.376285,0.41641533
184,0.20816615,0.15153295,0.44051024,0.3381132,0.2563903,0.32461417
185,0.20948137,0.18052092,0.4802416,0.2415044,0.30617243,0.35227343
186,0.21086183,0.15594567,0.43417034,0.38633147,0.26451135,0.35801053
187,0.23230073,0.19745226,0.5395559,0.19626701,0.352851,0.38181046
188,0.21946406,0.19565475,0.4962003,0.19946162,0.3434406,0.3706255
189,0.22953807,0.20334986,0.5446613,0.19896892,0.3648368,0.39815637
190,0.20963919,0.18120214,0.49665552,0.20466352,0.29994804,0.3385008
191,0.2064181,0.14594817,0.43649232,0.3423841,0.25211763,0.3092724
192,0.22738206,0.19040826,0.53733176,0.19076021,0.35645175,0.39304423
193,0.21352774,0.17578305,0.46397653,0.29230636,0.3055604,0.3556814
194,0.21749529,0.19224186,0.49465066,0.19684875,0.3248629,0.34792447
195,0.2105949,0.16619605,0.45161235,0.32373235,0.28059795,0.35722244
196,0.20598032,0.18099228,0.47742033,0.2332139,0.32724595,0.36277857
197,0.22173843,0.20565231,0.5443268,0.20076713,0.40239403,0.45742017
198,0.23130779,0.19333658,0.53490484,0.19255552,0.348955,0.381026
199,0.24373001,0.19381563,0.5445142,0.21697737,0.35008374,0.3866976
