,region_abbr,is_cortex,lobe,Cortical region (Level 1),Cortical region (Level 2),Full name
143,45b,cortex_ST,Frontal,45b,45b,ventro-lateral prefr. area in the arcuate sulcus lower limb (asl)
144,TEad,cortex_ST,Temporal,TE,TEad,dorsal subregion of anterior TE
145,PGa,cortex_ST,Temporal,PGa,PGa,sts fundus/dorsal bank area
146,F4,cortex_ST,Frontal,F4/F5,F4,agranular frontal area F4 (or 4C/6Va/6Vb)
148,8Ad,cortex_ST,Frontal,8A/FEF,8Ad,"periarcuate area (or frontal eye field), dorsal subdivison"
149,RTL,cortex_ST,Temporal,BELT,LB,"lateral rostrotemporal, belt region of the auditory cortex"
150,12o,cortex_ST,Frontal,12,12o,orbital prefrontal area
151,CM,cortex_ST,Temporal,BELT,MB,"caudomedial, belt region of the auditory cortex"
152,TAa,cortex_ST,Temporal,TAa,TAa,sts dorsal bank area
153,F2_(6DR/6DC),cortex_ST,Frontal,F2/F7,F2,agranular frontal area F2 (or 6DR/6DC)
154,TGvg,cortex_ST,Temporal,POLE,TGvg,ventral granular part of the temporal pole
155,CL,cortex_ST,Temporal,BELT,LB,"caudal lateral, belt region of the auditory cortex"
159,TPO,cortex_ST,Temporal,TPO,TPO,sts dorsal bank area
160,TEa,cortex_ST,Temporal,TE,TEa,sts ventral bank area
165,IPa,cortex_ST,Temporal,IPa,IPa,area IPa (sts fundus)
166,ELr,cortex_ST,Temporal,ENTORHINAL,ELr,"entorhinal cortex, lateral division (rostral part)"
169,ELc,cortex_ST,Temporal,ENTORHINAL,ELc,"entorhinal cortex, lateral division (caudal part)"
172,V2?,true,Occipital,,,
174,V2_or_v23b?,true,Occipital,,,
184,30,cortex_ST,Limbic,RETROSPLENIAL,30,retrosplenial cortex
185,24b',cortex_ST,Limbic,24,24b',subregion of anterior cingulate cortex
186,24a,cortex_ST,Limbic,24,24a,subregion of anterior cingulate cortex
187,24c',cortex_ST,Limbic,24,24c',subregion of anterior cingulate cortex
188,14c,cortex_ST,Frontal,14,14c,orbito-medial prefrontal area (gyrus rectus)
195,TH,cortex_ST,Temporal,PARAHIPPOCAMPAL,TH,area TH of the parahippocampal cortex
218,Iapl,cortex_ST,Frontal,Agranular insula,Iapl,posterolateral agranular insula area
224,Ri,cortex_ST,Insular,INSULA,Ri,retroinsula
