Region label,Raw Surface label,Region name,Hemi,Centroid R,Centroid A,Centroid S,DK Region Name,DK Overlap Ratio,AAL Region Name,AAL Overlap Ratio,HarvardOxford Region Name,HarvardOxford Overlap Ratio,MICCAI Region Name,MICCAI Overlap Ratio,BN Region Name,BN Overlap Ratio,Glasser Region Name,Glasser Overlap Ratio,Schaefer200 Region Name,Schaefer200 Overlap Ratio,Schaefer400 Region Name,Schaefer400 Overlap Ratio,Yeo7 Region Name,Yeo7 Overlap Ratio,Yeo17 Region Name,Yeo17 Overlap Ratio,lobe,info
244,6620275,lh__fusiform__7,Left,-43,-71,-14,lh_fusiform,1,Occipital_Inf_L,0.913978495,"Lateral Occipital Cortex, inferior division_Left",0.806451613,Left_IOG,0.311827957,L_A37lv,0.921146953,L_FFC_ROI,0.720430108,7Networks_LH_Vis_3,0.956989247,7Networks_LH_Vis_8,0.892473118,Left Visual,0.982078853,Left Visual Central (Visual A),0.788530466,Temporal,
245,6546823,lh__fusiform__8,Left,-28,-1,-46,lh_fusiform,1,Fusiform_L,0.445887446,"Temporal Fusiform Cortex, anterior division_Left",0.885281385,Left_ITG,0.62987013,L_A20rv,0.967532468,L_TGv_ROI,0.987012987,7Networks_LH_Limbic_TempPole_1,1.0,7Networks_LH_Limbic_TempPole_1,0.932900433,Left Limbic,1.0,Left Limbic A,1.0,Temporal,
246,8992604,lh__fusiform__9,Left,-30,-35,-24,lh_fusiform,1,Fusiform_L,0.97706422,"Temporal Fusiform Cortex, posterior division_Left",0.981651376,Left_FuG,0.972477064,L_A20rv,0.894495413,L_VVC_ROI,0.821100917,7Networks_LH_DorsAttn_Post_1,0.894495413,7Networks_LH_Vis_1,0.899082569,Left Visual,0.995412844,Left Default C,0.568807339,Temporal,
247,6949705,lh__fusiform__10,Left,-24,-79,-13,lh_fusiform,1,Fusiform_L,0.589041096,Occipital Fusiform Gyrus_Left,1.0,Left_OFuG,0.762557078,L_A37mv,0.849315068,L_V4_ROI,1.0,7Networks_LH_Vis_2,0.890410959,7Networks_LH_Vis_5,0.643835616,Left Visual,0.890410959,Left Visual Central (Visual A),0.890410959,Temporal,
248,8738234,lh__fusiform__11,Left,-38,-13,-29,lh_fusiform,1,Temporal_Inf_L,0.558823529,"Temporal Fusiform Cortex, posterior division_Left",0.558823529,Left_FuG,0.524509804,L_A20rv,0.843137255,L_TF_ROI,0.769607843,7Networks_LH_Limbic_TempPole_2,0.789215686,7Networks_LH_Limbic_TempPole_5,0.789215686,Left Limbic,0.843137255,Left Limbic A,0.843137255,Temporal,
249,12769517,lh__fusiform__12,Left,-38,-43,-23,lh_fusiform,1,Fusiform_L,0.996212121,"Temporal Fusiform Cortex, posterior division_Left",0.791666667,Left_FuG,0.946969697,L_A37lv,0.943181818,L_FFC_ROI,0.916666667,7Networks_LH_DorsAttn_Post_1,1.0,7Networks_LH_Vis_1,0.84469697,Left Visual,0.890151515,Left Dorsal Attention A,0.981060606,Temporal,
250,4849288,lh__fusiform__13,Left,-42,-58,-18,lh_fusiform,1,Fusiform_L,0.984848485,Temporal Occipital Fusiform Cortex_Left,0.972727273,Left_FuG,0.781818182,L_A37lv,0.854545455,L_FFC_ROI,0.951515152,7Networks_LH_DorsAttn_Post_1,0.918181818,7Networks_LH_DorsAttn_Post_2,0.575757576,Left Dorsal Attention,0.584848485,Left Dorsal Attention A,0.627272727,Temporal,
251,5845420,lh__fusiform__14,Left,-35,-24,-26,lh_fusiform,1,Fusiform_L,0.855614973,"Temporal Fusiform Cortex, posterior division_Left",0.973262032,Left_FuG,0.796791444,L_A20rv,0.636363636,L_TF_ROI,0.395721925,7Networks_LH_Default_PHC_1,0.529411765,7Networks_LH_Vis_2,0.529411765,Left Limbic,0.962566845,Left Limbic A,0.86631016,Temporal,
252,1485690,lh__fusiform__15,Left,-40,-20,-23,lh_fusiform,1,Temporal_Inf_L,0.653409091,"Temporal Fusiform Cortex, posterior division_Left",0.823863636,Left_FuG,0.602272727,L_A20rv,0.670454545,L_TF_ROI,1.0,7Networks_LH_Limbic_TempPole_2,0.761363636,7Networks_LH_Limbic_TempPole_5,0.761363636,Left Limbic,0.772727273,Left Limbic A,0.767045455,Temporal,
253,9662424,lh__fusiform__16,Left,-30,-74,-13,lh_fusiform,1,Fusiform_L,0.904977376,Occipital Fusiform Gyrus_Left,1.0,Left_OFuG,0.764705882,L_A37mv,0.972850679,L_V8_ROI,0.886877828,7Networks_LH_Vis_2,1.0,7Networks_LH_Vis_5,0.692307692,Left Visual,1.0,Left Visual Central (Visual A),1.0,Temporal,
254,15126292,lh__fusiform__17,Left,-31,-11,-35,lh_fusiform,1,Fusiform_L,0.984313725,"Parahippocampal Gyrus, anterior division_Left",0.349019608,Left_FuG,0.71372549,L_A20rv,0.749019608,L_PeEc_ROI,1.0,7Networks_LH_Limbic_TempPole_1,0.878431373,7Networks_LH_Limbic_TempPole_3,0.658823529,Left Limbic,0.97254902,Left Limbic A,0.97254902,Temporal,
255,10002916,lh__fusiform__18,Left,-27,-74,-8,lh_fusiform,1,Fusiform_L,0.626315789,Occipital Fusiform Gyrus_Left,1.0,Left_OFuG,0.526315789,L_A37mv,0.957894737,L_V4_ROI,0.726315789,7Networks_LH_Vis_2,0.905263158,7Networks_LH_Vis_5,0.9,Left Visual,0.905263158,Left Visual Central (Visual A),0.905263158,Temporal,
256,3780824,lh__fusiform__19,Left,-33,-32,-20,lh_fusiform,1,Fusiform_L,0.91025641,"Temporal Fusiform Cortex, posterior division_Left",0.854700855,Left_FuG,0.602564103,L_A20rv,0.709401709,L_VVC_ROI,0.05982906,7Networks_LH_Default_PHC_1,0.841880342,7Networks_LH_Vis_2,0.841880342,Left Visual,0.61965812,Left Default C,0.94017094,Temporal,
257,14754608,lh__fusiform__20,Left,-42,-55,-14,lh_fusiform,1,Fusiform_L,0.774305556,Temporal Occipital Fusiform Cortex_Left,0.579861111,Left_FuG,0.40625,L_A37lv,1.0,L_FFC_ROI,0.680555556,7Networks_LH_DorsAttn_Post_1,0.954861111,7Networks_LH_DorsAttn_Post_2,0.90625,Left Dorsal Attention,0.920138889,Left Dorsal Attention A,0.920138889,Temporal,
258,15340132,lh__fusiform__21,Left,-30,-54,-8,lh_fusiform,1,Fusiform_L,0.661417323,Temporal Occipital Fusiform Cortex_Left,0.858267717,Left_FuG,0.417322835,L_A37mv,0.724409449,L_VMV2_ROI,0.480314961,7Networks_LH_Vis_1,0.937007874,7Networks_LH_Vis_4,0.937007874,Left Visual,0.937007874,Left Visual Peripheral (Visual B),0.511811024,Temporal,
