label,labbr,annotation,Region No.,Cortical lobe,lobe,Cortical region (Level 1),Cortical region (Level 2),Full name
438,TGa,agranular part of the temporal pole,58.0,temporal,"Temporal Lobe
",POLE,TGa,agranular part of the temporal pole
439,V6Ad,"visual area 6A, dorsal division",23.0,parietal,Parietal Lobe,V6A,V6Ad,"visual ar ea 6A, dorsal division"
440,TF,area TF of the parahippocampal cortex,55.0,temporal,"Temporal Lobe
",PARAHIPPOCAMPAL,TF,area TF of the parahippocampal cortex
441,45b,ventro-lateral prefrontal area in the arcuate sulcus lower limb (asl)	,122.0,prefrontal,Frontal Lobe,45b,45b,ventro-lateral prefr. area in the arcuate sulcus lower limb (asl)
442,TEad,dorsal subregion of anterior TE,42.0,temporal,"Temporal Lobe
",TE,TEad,dorsal subregion of anterior TE
443,PGa,sts fundus/dorsal bank area,32.0,temporal,"Temporal Lobe
",PGa,PGa,sts fundus/dorsal bank area
444,F4,agranular frontal area F4 (or 4C/6Va/6Vb),107.0,frontal,Sensorimotor Cortex,F4/F5,F4,agranular frontal area F4 (or 4C/6Va/6Vb)
446,8Ad,"periarcuate area (or frontal eye field), dorsal subdivision",120.0,prefrontal,Frontal Lobe,8A/FEF,8Ad,"periarcuate area (or frontal eye field), dorsal subdivison"
447,RTL,"lateral rostrotemporal, belt region of the auditory cortex",71.0,auditory,"Temporal Lobe
",BELT,LB,"lateral rostrotemporal, belt region of the auditory cortex"
448,12o,orbital prefrontal area,138.0,prefrontal,Frontal Lobe,12,12o,orbital prefrontal area
449,CM,"caudomedial, belt region of the auditory cortex ",70.0,auditory,"Temporal Lobe
",BELT,MB,"caudomedial, belt region of the auditory cortex"
450,TAa,sts dorsal bank area ,30.0,temporal,"Temporal Lobe
",TAa,TAa,sts dorsal bank area
451,F2_(6DR/6DC),agranular frontal area F2 (or 6DR/6DC) ,103.0,frontal,Sensorimotor Cortex,F2/F7,F2,agranular frontal area F2 (or 6DR/6DC)
452,TGvg,ventral granular part of the temporal pole,63.0,temporal,"Temporal Lobe
",POLE,TGvg,ventral granular part of the temporal pole
